car_id,car_name,car_license_plate
0,Mercielago,JK69XXN
1,Accord,QH73YIT
2,XC90,KH42USL
3,Altima,LU50BFK
4,XTS,NX60WNS
5,Grand Caravan,RR74RNZ
6,Colorado,DL73BQP
7,Camry,BB88OKY
8,Beetle,DY80SFY
9,Spyder,PQ01FBD
10,A8,MP28OSD
11,1,NO06HOS
12,Beetle,FC88DKA
13,Volt,RU08MJU
14,CX-9,BN42EIZ
15,Charger,EL08XFO
16,1,KS32NFH
17,Colorado,XW81PDC
18,Model T,JF45XAU
19,Camaro,OD46GHU
20,Charger,CA57JLO
21,Mustang,ZD67HZC
22,Grand Caravan,XZ98JYF
23,Model 3,YO65ZCK
24,Fortwo,SP73VHE
25,A4,AU19IPS
26,Ranchero,UQ83QNL
27,Countach,GX33OEF
28,Mercielago,VW93OPN
29,Aventador,JK88CGN
30,Grand Caravan,PY67HMU
31,Element,YL87HUW
32,Volt,EL39LAH
33,Model 3,YP07GMD
34,LeBaron,YS89KHZ
35,Jetta,AN91IPG
36,A4,HN25RZX
37,Mercielago,FP35WTD
38,Countach,NJ08SJE
39,Civic,CH27XIL
40,Expedition,SH49OFM
41,1,SX75CDR
42,Model X,NM19VBL
43,Expedition,VE65QKC
44,Beetle,NW15UIQ
45,Element,ML46KWL
46,Civic,LV98HNV
47,1,DH08GNK
48,Element,FI08GKO
49,Camry,VO57GYA
50,Element,UG28VAB
51,Model T,BT37YLA
52,Model S,PV97GBC
53,Malibu,OG22OIT
54,2,RZ53AJJ
55,Land Cruiser,AD45KSH
56,Golf,MI72TQG
57,Aventador,UI44EKJ
58,Countach,GG55JWW
59,Civic,WW81GQP
60,Mustang,FH57FQS
61,Taurus,PN28JCM
62,Impala,OL28ZZK
63,Silverado,LL95UVY
64,Golf,BI28NUU
65,Model T,TX79WVM
66,Land Cruiser,ZN12TTC
67,Land Cruiser,ZF81IXS
68,Colorado,AE72JCO
69,Grand Cherokee,FS82IHH
70,Element,UX67UFC
71,Land Cruiser,YQ51UQN
72,Sentra,LL69LKF
73,El Camino,BR42XFN
74,Silverado,XU91VMI
75,Ranchero,DW46MFL
76,Grand Caravan,OU40FAA
77,PT Cruiser,NA99CIQ
78,Countach,AV75KSH
79,Roadster,EO71EDN
80,Element,FP90NWV
81,CX-9,KO49RBG
82,Cruze,PX66IMY
83,Mustang,SN67OJF
84,Grand Caravan,GZ47DGX
85,Model X,UZ61FPD
86,CX-9,UA96RHM
87,Model 3,MT93TXR
